poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,numeric_grade,pollscore,methodology,transparency_score,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,endorsed_candidate_id,endorsed_candidate_name,endorsed_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,url_article,url_topline,url_crosstab,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,ranked_choice_round,hypothetical,party,answer,candidate_id,candidate_name,pct
88762,568,YouGov,133,CBS News,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/11/24,10/16/24,NA,NA,NA,NA,NA,NA,213103,1435,lv,NA,lv,NA,10/17/24 19:50,NA,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20241016_az_1_updated.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48
88762,568,YouGov,133,CBS News,YouGov,391,YouGov,3,-1.1,Online Panel,9,Arizona,10/11/24,10/16/24,NA,NA,NA,NA,NA,NA,213103,1435,lv,NA,lv,NA,10/17/24 19:50,NA,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,https://www.cbsnews.com/news/trump-harris-poll-arizona-10-17-2024/,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/cbsnews_20241016_az_1_updated.pdf,NA,NA,NA,8759,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,51
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212851,1457,rv,NA,rv,NA,10/16/24 09:33,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,48
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212851,1457,rv,NA,rv,NA,10/16/24 09:33,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,45
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212851,1457,rv,NA,rv,NA,10/16/24 09:33,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,1
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212851,1457,rv,NA,rv,NA,10/16/24 09:33,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,IND,West,31097,Cornel West,1
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212852,1314,lv,NA,lv,NA,10/16/24 09:34,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,DEM,Harris,16661,Kamala Harris,49
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212852,1314,lv,NA,lv,NA,10/16/24 09:34,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,REP,Trump,16651,Donald Trump,45
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212852,1314,lv,NA,lv,NA,10/16/24 09:34,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,GRE,Stein,31116,Jill Stein,1
88710,568,YouGov,352,Economist,YouGov,391,YouGov,3,-1.1,Online Panel,9,NA,10/12/24,10/15/24,NA,NA,NA,NA,NA,NA,212852,1314,lv,NA,lv,NA,10/16/24 09:34,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,https://d3nkl3psvxxpe9.cloudfront.net/documents/econTabReport_ycklxBQ.pdf,NA,NA,NA,8914,2024,U.S. President,0,NA,11/5/24,general,FALSE,FALSE,NA,FALSE,IND,West,31097,Cornel West,0
